id,datetime,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,precipType,pressure,precipAccumulation,ozone,countRents_prev_year,countRents
2018010114,2018-01-01 14:00:00,Mostly Cloudy,partly-cloudy-day,0.1067,0.21,7.13,5.38,4.77,0.85,2.55,4.71,276,0.75,0,10.003,rain,995.85,,,132,959
2018010115,2018-01-01 15:00:00,Mostly Cloudy,partly-cloudy-day,0.0312,0.2,7.13,4.99,4.52,0.83,3.13,5.18,289,0.57,0,10.003,rain,997.06,,,166,960
2018010116,2018-01-01 16:00:00,Mostly Cloudy,partly-cloudy-night,0,0,6.8,4.93,3.89,0.82,2.63,4.59,284,0.56,0,10.003,,998.2,,,147,824
2018010117,2018-01-01 17:00:00,Mostly Cloudy,partly-cloudy-night,0,0,6.54,4.52,3.78,0.83,2.76,4.58,260,0.62,0,10.003,,999.31,,,151,572
2018010118,2018-01-01 18:00:00,Partly Cloudy,partly-cloudy-night,0,0,6.47,4.52,3.67,0.82,2.66,4.62,262,0.4,0,10.003,,1000.42,,,140,440
2018010119,2018-01-01 19:00:00,Partly Cloudy,partly-cloudy-night,0,0,6.92,4.47,3.51,0.79,3.54,6.01,270,0.4,0,10.003,,1001.75,,,135,316
2018010120,2018-01-01 20:00:00,Partly Cloudy,partly-cloudy-night,0,0,7.11,4.56,3.11,0.76,3.81,6.81,276,0.31,0,10.003,,1003.27,,,114,262
2018010121,2018-01-01 21:00:00,Mostly Cloudy,partly-cloudy-night,0,0,7.59,4.97,3.06,0.73,4.13,7.73,280,0.7,0,10.003,,1004.77,,,109,217
2018010122,2018-01-01 22:00:00,Mostly Cloudy,partly-cloudy-night,0,0,7.44,4.74,2.91,0.73,4.23,8.19,282,0.77,0,10.003,,1006.23,,,117,207
2018010123,2018-01-01 23:00:00,Partly Cloudy,partly-cloudy-night,0,0,6.99,4.71,2.63,0.74,3.29,6.74,285,0.47,0,10.003,,1007.47,,,88,165
2018010200,2018-01-02 00:00:00,Partly Cloudy,partly-cloudy-night,0,0,6.38,4.16,2.45,0.76,3.02,5.43,277,0.44,0,10.003,,1009.13,,,84,90
2018010201,2018-01-02 01:00:00,Clear,clear-night,0,0,5.98,3.98,2.42,0.78,2.6,5.19,267,0,0,10.003,,1009.85,,,62,72
2018010202,2018-01-02 02:00:00,Clear,clear-night,0,0,5.63,3.91,2.42,0.8,2.2,4.58,263,0,0,10.003,,1010.57,,,41,49
2018010203,2018-01-02 03:00:00,Clear,clear-night,0,0,5.16,3.06,2.28,0.82,2.52,4.47,258,0,0,10.003,,1010.94,,,23,34
2018010204,2018-01-02 04:00:00,Clear,clear-night,0,0,4.71,2.77,2.01,0.83,2.26,4.22,262,0,0,10.003,,1011.46,,,18,33
2018010205,2018-01-02 05:00:00,Clear,clear-night,0,0,4.46,3.05,1.69,0.82,1.72,2.93,258,0,0,10.003,,1011.34,,,35,80
2018010206,2018-01-02 06:00:00,Clear,clear-night,0,0,4.17,2.63,1.6,0.83,1.8,2.53,252,0,0,10.003,,1012.04,,,63,432
2018010207,2018-01-02 07:00:00,Clear,clear-night,0,0,4.31,3.08,1.91,0.84,1.56,2.74,225,0,0,10.003,,1011.73,,,110,1223
2018010208,2018-01-02 08:00:00,Clear,clear-night,0,0,4.3,3.25,1.99,0.85,1.43,1.86,188,0.08,0,10.003,,1010.89,,,203,2439
2018010209,2018-01-02 09:00:00,Clear,clear-day,0,0,4.9,4.9,2.37,0.84,1.13,2.18,183,0,0,10.003,,1010.93,,,409,1201
2018010210,2018-01-02 10:00:00,Partly Cloudy,partly-cloudy-day,0,0,5.53,4.66,3.23,0.85,1.42,2.95,171,0.28,0,10.003,,1009.89,,,668,308
2018010211,2018-01-02 11:00:00,Possible Drizzle,rain,0.3127,0.59,6.06,4.85,4.37,0.89,1.76,3.15,172,0.81,0,7.016,rain,1009.09,,,1020,136
2018010212,2018-01-02 12:00:00,Light Rain,rain,1.2814,0.72,7.04,4.95,5.93,0.93,3,5.16,175,0.83,1,6.333,rain,1006.9,,,1264,364
2018010213,2018-01-02 13:00:00,Possible Light Rain,rain,0.4438,0.67,8.14,6.45,7.16,0.94,2.74,5.57,182,0.8,0,4.635,rain,1004.95,,,1312,420
2018010214,2018-01-02 14:00:00,Possible Drizzle,rain,0.1257,0.6,8.92,7.03,7.85,0.93,3.3,6.51,193,0.95,0,4.607,rain,1003.27,,,1520,482
2018010215,2018-01-02 15:00:00,Possible Drizzle,rain,0.0721,0.57,9.52,8.04,8.45,0.93,2.82,5.71,226,0.84,0,10.003,rain,1002.83,,,1348,591
2018010216,2018-01-02 16:00:00,Mostly Cloudy,partly-cloudy-night,0,0,10,8.73,8.71,0.92,2.64,4.94,238,0.75,0,10.003,,1002.74,,,968,1048
2018010217,2018-01-02 17:00:00,Partly Cloudy,partly-cloudy-night,0,0,10.17,10.17,8.62,0.9,2.47,5.18,235,0.46,0,9.718,,1002.21,,,715,2296
2018010218,2018-01-02 18:00:00,Partly Cloudy,partly-cloudy-night,0,0,10.2,10.2,8.49,0.89,2.61,4.32,236,0.42,0,8.561,,1001.48,,,589,1435
2018010219,2018-01-02 19:00:00,Mostly Cloudy,partly-cloudy-night,0.0226,0.33,10,10,8.37,0.9,3.04,5.18,210,0.52,0,7.636,rain,999.66,,,428,744
2018010220,2018-01-02 20:00:00,Possible Drizzle,rain,0.05,0.41,10.08,10.08,8.29,0.89,4.18,7.97,214,0.65,0,6.436,rain,998.21,,,331,257
2018010221,2018-01-02 21:00:00,Light Rain,rain,0.5498,0.76,10.16,10.16,8.77,0.91,4.88,8.87,210,0.77,0,4.344,rain,995.08,,,230,231
2018010222,2018-01-02 22:00:00,Drizzle,rain,0.3861,0.73,11.12,11.12,9.93,0.92,5.13,9.28,217,0.81,0,5.276,rain,992.18,,,200,176
2018010223,2018-01-02 23:00:00,Drizzle,rain,0.3518,0.7,12.01,12.01,10.85,0.93,4.91,9.34,221,0.93,0,5.984,rain,989.47,,,145,45
2018010300,2018-01-03 00:00:00,Light Rain,rain,1.5623,0.83,11.29,11.29,9.09,0.86,5.19,11.1,254,0.75,0,10.003,rain,988.69,,,62,70
2018010301,2018-01-03 01:00:00,Light Rain,rain,0.8451,0.73,10.14,10.14,6.87,0.8,4.99,9.54,259,0.27,0,10.003,rain,989.57,,,49,40
2018010302,2018-01-03 02:00:00,Partly Cloudy,partly-cloudy-night,0.0565,0.24,9.8,7.3,5.98,0.77,5.1,9.21,255,0.46,0,10.003,rain,989.09,,,43,24
2018010303,2018-01-03 03:00:00,Partly Cloudy,partly-cloudy-night,0.0137,0.25,9.28,6.45,4.44,0.72,5.64,11.42,260,0.47,0,10.003,rain,989.08,,,10,10
2018010304,2018-01-03 04:00:00,Possible Drizzle,rain,0.0866,0.43,8.41,5.44,3.1,0.69,5.42,10.52,262,0.44,0,10.003,rain,989.45,,,30,21
2018010305,2018-01-03 05:00:00,Partly Cloudy,partly-cloudy-night,0.022,0.27,7.82,4.65,2.61,0.7,5.51,10.57,262,0.38,0,10.003,rain,989.76,,,83,104
2018010306,2018-01-03 06:00:00,Mostly Cloudy,partly-cloudy-night,0,0,7.82,4.64,2.39,0.69,5.56,11.14,271,0.76,0,10.003,,990.86,,,433,484
2018010307,2018-01-03 07:00:00,Mostly Cloudy,partly-cloudy-night,0,0,7.75,4.61,2.42,0.69,5.4,10.48,263,0.58,0,10.003,,992.28,,,1405,1365
2018010308,2018-01-03 08:00:00,Mostly Cloudy,partly-cloudy-night,0,0,7.95,4.8,2.83,0.7,5.58,10.8,265,0.68,0,10.003,,993.6,,,2899,2920
2018010309,2018-01-03 09:00:00,Mostly Cloudy,partly-cloudy-day,0,0,8.15,4.98,3.13,0.71,5.78,11.33,266,0.75,0,10.003,,995.21,,,1353,1430
2018010310,2018-01-03 10:00:00,Mostly Cloudy,partly-cloudy-day,0,0,8.69,5.88,3.15,0.68,5.17,10.7,269,0.75,0,10.003,,996.6,,,661,687
2018010311,2018-01-03 11:00:00,Mostly Cloudy,partly-cloudy-day,0,0,9.4,6.63,3.63,0.67,5.57,10.38,265,0.85,0,10.003,,997.36,,,634,639
2018010312,2018-01-03 12:00:00,Mostly Cloudy,partly-cloudy-day,0,0,10.02,10.02,3.79,0.65,5.52,11.14,271,0.75,1,10.003,,998.36,,,825,877
2018010313,2018-01-03 13:00:00,Mostly Cloudy,partly-cloudy-day,0,0,10.32,10.32,3.68,0.63,5.6,11.94,269,0.84,0,10.003,,999.05,,,877,860
2018010314,2018-01-03 14:00:00,Mostly Cloudy,partly-cloudy-day,0,0,10.37,10.37,3.52,0.63,5.87,11.73,270,0.68,0,10.003,,1000.02,,,764,769
2018010315,2018-01-03 15:00:00,Mostly Cloudy,partly-cloudy-day,0,0,9.9,7.56,3.18,0.63,4.73,10.37,270,0.67,0,10.003,,1000.6,,,844,828
2018010316,2018-01-03 16:00:00,Mostly Cloudy,partly-cloudy-night,0,0,9.28,7.02,3.25,0.66,4.23,7.78,265,0.62,0,10.003,,1000.58,,,1198,1241
2018010317,2018-01-03 17:00:00,Partly Cloudy,partly-cloudy-night,0,0,8.84,6.6,3.59,0.7,3.95,8.06,259,0.37,0,9.921,,1000.96,,,2740,2772
2018010318,2018-01-03 18:00:00,Partly Cloudy,partly-cloudy-night,0,0,8.88,6.45,4.05,0.72,4.37,7.91,253,0.49,0,10.003,,1001.16,,,2216,2250
2018010319,2018-01-03 19:00:00,Partly Cloudy,partly-cloudy-night,0,0,8.89,6.46,3.92,0.71,4.38,7.55,264,0.4,0,9.802,,1001.47,,,1039,1071
2018010320,2018-01-03 20:00:00,Partly Cloudy,partly-cloudy-night,0,0,8.65,6.6,4.06,0.73,3.5,6.53,257,0.23,0,9.919,,1001.5,,,540,628
2018010321,2018-01-03 21:00:00,Mostly Cloudy,partly-cloudy-night,0,0,8.21,6.48,4.07,0.75,2.82,5.52,249,0.75,0,9.296,,1001.15,,,332,393
2018010322,2018-01-03 22:00:00,Mostly Cloudy,partly-cloudy-night,0,0,7.96,6.16,4.16,0.77,2.85,5.02,249,0.75,0,9.242,,1001.12,,,223,319
2018010323,2018-01-03 23:00:00,Mostly Cloudy,partly-cloudy-night,0,0,7.77,6.03,4.33,0.79,2.7,4.62,250,0.56,0,8.988,,1000.83,,,137,243
2018010400,2018-01-04 00:00:00,Partly Cloudy,partly-cloudy-night,0,0,7.53,6.48,4.37,0.8,1.83,3.82,241,0.41,0,8.565,,1000.92,,,66,121
2018010401,2018-01-04 01:00:00,Clear,clear-night,0,0,7.18,5.71,4.08,0.81,2.22,4.13,241,0.05,0,10.003,,1000.38,,,44,86
2018010402,2018-01-04 02:00:00,Clear,clear-night,0,0,7.05,5.39,3.81,0.8,2.43,3.9,244,0,0,10.003,,1000.01,,,41,30
2018010403,2018-01-04 03:00:00,Clear,clear-night,0,0,7.09,5.89,3.95,0.8,1.91,3.63,236,0.08,0,10.003,,999.32,,,20,26
2018010404,2018-01-04 04:00:00,Partly Cloudy,partly-cloudy-night,0.0453,0.26,6.8,6.13,4.58,0.86,1.4,2.45,227,0.16,0,10.003,rain,998.01,,,41,20
2018010405,2018-01-04 05:00:00,Possible Drizzle,rain,0.3387,0.6,6.51,6.51,5.02,0.9,0.66,1.4,218,0.75,0,7.534,rain,997.15,,,79,46
2018010406,2018-01-04 06:00:00,Light Rain,rain,1.0156,0.71,6.52,6.52,5.39,0.93,0.29,0.71,166,0.82,0,5.686,rain,995.93,,,518,270
2018010407,2018-01-04 07:00:00,Possible Light Rain,rain,1.0854,0.68,6.7,6.7,5.67,0.93,1.17,1.75,141,0.82,0,5.532,rain,994.38,,,1737,780
2018010408,2018-01-04 08:00:00,Light Rain,rain,0.8922,0.7,7.01,7.01,6.14,0.94,1.21,2.23,156,0.93,0,4.302,rain,993.05,,,3502,1660
2018010409,2018-01-04 09:00:00,Possible Light Rain,rain,0.422,0.63,7.8,6.83,7.04,0.95,1.78,2.92,177,0.84,0,3.826,rain,992.21,,,1717,1263
2018010410,2018-01-04 10:00:00,Possible Drizzle,rain,0.2032,0.59,9.49,8.62,8.56,0.94,1.96,3.62,234,0.84,0,8.602,rain,991.83,,,749,701
2018010411,2018-01-04 11:00:00,Mostly Cloudy,partly-cloudy-day,0.0225,0.2,10.98,10.98,9.6,0.91,2.74,5.14,242,0.68,0,10.003,rain,991.32,,,536,604
2018010412,2018-01-04 12:00:00,Mostly Cloudy,partly-cloudy-day,0.0208,0.15,11.95,11.95,9.17,0.83,4.27,7.46,245,0.77,1,10.003,rain,990.6,,,718,850
2018010413,2018-01-04 13:00:00,Mostly Cloudy,partly-cloudy-day,0,0,12.16,12.16,7.85,0.75,5.18,9.78,252,0.77,0,10.003,,990.07,,,835,847
2018010414,2018-01-04 14:00:00,Mostly Cloudy,partly-cloudy-day,0,0,11.52,11.52,6.36,0.71,5.82,10.33,259,0.77,0,10.003,,990.2,,,818,762
2018010415,2018-01-04 15:00:00,Mostly Cloudy,partly-cloudy-day,0,0,10.5,10.5,5.25,0.7,5.99,10.71,258,0.69,0,10.003,,990.84,,,884,828
2018010416,2018-01-04 16:00:00,Mostly Cloudy,partly-cloudy-night,0,0,9.42,6.45,4.15,0.7,6.16,10.51,265,0.63,0,10.003,,992.14,,,1298,1241
2018010417,2018-01-04 17:00:00,Partly Cloudy,partly-cloudy-night,0,0,8.59,5.51,3.32,0.69,5.85,11.39,269,0.37,0,10.003,,993.84,,,2882,2596
2018010418,2018-01-04 18:00:00,Partly Cloudy,partly-cloudy-night,0,0,8.09,5.23,3.37,0.72,4.92,9.37,265,0.19,0,10.003,,994.81,,,2617,2201
2018010419,2018-01-04 19:00:00,Clear,clear-night,0,0,7.45,4.9,3.19,0.74,3.95,6.96,257,0,0,10.003,,995.01,,,1234,1101
2018010420,2018-01-04 20:00:00,Clear,clear-night,0,0,7.51,5.08,3.62,0.76,3.74,6.95,246,0,0,10.003,,995.66,,,652,653
2018010421,2018-01-04 21:00:00,Partly Cloudy,partly-cloudy-night,0,0,7.64,5.25,3.8,0.77,3.72,7.01,250,0.13,0,10.003,,995.25,,,418,400
2018010422,2018-01-04 22:00:00,Mostly Cloudy,partly-cloudy-night,0.0438,0.35,7.23,5.41,4.23,0.81,2.67,4.79,241,0.53,0,9.742,rain,994.9,,,327,124
2018010423,2018-01-04 23:00:00,Mostly Cloudy,partly-cloudy-night,0.247,0.35,6.63,5.84,4.38,0.86,1.48,2.93,227,0.62,0,9.573,rain,993.94,,,167,145
2018010500,2018-01-05 00:00:00,Possible Drizzle,rain,0.1689,0.47,6.05,6.05,4.17,0.88,0.94,2.42,229,0.28,0,10.003,rain,993.35,,,84,94
2018010501,2018-01-05 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0745,0.35,5.87,5.08,4.3,0.9,1.39,2,241,0.66,0,10.003,rain,993.46,,,64,71
2018010502,2018-01-05 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0104,0.18,6.11,5.15,4.59,0.9,1.55,3.43,233,0.63,0,10.003,rain,993.86,,,38,50
2018010503,2018-01-05 03:00:00,Mostly Cloudy,partly-cloudy-night,0,0,6.4,5.06,4.76,0.89,1.93,4.3,237,0.63,0,10.003,,993.97,,,23,23
2018010504,2018-01-05 04:00:00,Mostly Cloudy,partly-cloudy-night,0,0,6.27,4.66,4.58,0.89,2.2,3.86,225,0.64,0,10.003,,993.95,,,32,37
2018010505,2018-01-05 05:00:00,Mostly Cloudy,partly-cloudy-night,0,0,6.34,5.25,4.2,0.86,1.7,3.88,225,0.63,0,10.003,,993.4,,,83,91
2018010506,2018-01-05 06:00:00,Partly Cloudy,partly-cloudy-night,0,0,6.18,4.86,4.2,0.87,1.88,3.08,222,0.44,0,10.003,,993.37,,,546,468
2018010507,2018-01-05 07:00:00,Mostly Cloudy,partly-cloudy-night,0,0,6.22,5.2,4.27,0.87,1.62,2.66,212,0.59,0,10.003,,993.23,,,1721,1459
2018010508,2018-01-05 08:00:00,Partly Cloudy,partly-cloudy-night,0,0,6.83,5.57,4.88,0.87,1.92,3.57,205,0.48,0,10.003,,992.95,,,3579,3012
2018010509,2018-01-05 09:00:00,Partly Cloudy,partly-cloudy-day,0.0328,0.19,7.07,5.43,4.71,0.85,2.4,4.51,219,0.37,0,10.003,rain,993.24,,,1815,1746
2018010510,2018-01-05 10:00:00,Partly Cloudy,partly-cloudy-day,0.0315,0.19,6.92,5.3,4.55,0.85,2.34,4.4,220,0.44,0,10.003,rain,992.77,,,792,767
2018010511,2018-01-05 11:00:00,Partly Cloudy,partly-cloudy-day,0.0054,0.06,7.56,5.71,4.7,0.82,2.82,5.44,215,0.26,0,10.003,rain,992.9,,,776,809
2018010512,2018-01-05 12:00:00,Mostly Cloudy,partly-cloudy-day,0,0,8.45,6.39,4.46,0.76,3.44,6.28,235,0.61,1,10.003,,992.8,,,997,1025
2018010513,2018-01-05 13:00:00,Mostly Cloudy,partly-cloudy-day,0,0,8.62,6.46,3.6,0.71,3.69,7.31,238,0.68,0,10.003,,992.95,,,1011,1055
2018010514,2018-01-05 14:00:00,Mostly Cloudy,partly-cloudy-day,0,0,8.4,6,2.98,0.69,4.07,7.56,248,0.58,0,10.003,,993.37,,,955,977
2018010515,2018-01-05 15:00:00,Mostly Cloudy,partly-cloudy-day,0,0,8.12,5.95,2.94,0.7,3.52,6.39,248,0.54,0,10.003,,994.16,,,1105,1080
2018010516,2018-01-05 16:00:00,Partly Cloudy,partly-cloudy-night,0,0,7.24,5.17,2.63,0.73,3.04,5.2,253,0.38,0,10.003,,994.9,,,1388,1504
2018010517,2018-01-05 17:00:00,Partly Cloudy,partly-cloudy-night,0,0,6.22,4.35,2.49,0.77,2.49,3.88,254,0.45,0,10.003,,995.62,,,2827,2614
2018010518,2018-01-05 18:00:00,Partly Cloudy,partly-cloudy-night,0,0,5.46,4.36,2.18,0.79,1.59,2.18,259,0.48,0,10.003,,996.34,,,2449,1944
2018010519,2018-01-05 19:00:00,Mostly Cloudy,partly-cloudy-night,0,0,4.86,4.86,2.08,0.82,1.13,1.13,259,0.59,0,10.003,,997.46,,,1263,996
2018010520,2018-01-05 20:00:00,Partly Cloudy,partly-cloudy-night,0,0,3.99,3.99,1.73,0.85,0.46,0.62,243,0.39,0,10.003,,998.1,,,708,606
2018010521,2018-01-05 21:00:00,Partly Cloudy,partly-cloudy-night,0,0,3.47,3.47,1.54,0.87,0.34,0.34,211,0.37,0,10.003,,998.54,,,454,391
2018010522,2018-01-05 22:00:00,Partly Cloudy,partly-cloudy-night,0,0,3.35,3.35,1.67,0.89,0.32,0.32,193,0.25,0,10.003,,999.15,,,366,366
2018010523,2018-01-05 23:00:00,Partly Cloudy,partly-cloudy-night,0,0,3.21,3.21,1.54,0.89,0.3,0.3,182,0.25,0,10.003,,999.92,,,225,295
2018010600,2018-01-06 00:00:00,Mostly Cloudy,partly-cloudy-night,0,0,3.07,3.07,1.63,0.9,0.25,0.25,106,0.55,0,10.003,,1000.67,,,101,217
2018010601,2018-01-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0,0,3.3,3.3,2.16,0.92,0.26,0.33,71,0.51,0,8.953,,1001.04,,,74,149
2018010602,2018-01-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0449,0.19,3.39,3.39,2.1,0.91,0.28,0.29,34,0.67,0,9.254,rain,1001.41,,,59,104
2018010603,2018-01-06 03:00:00,Mostly Cloudy,partly-cloudy-night,0.0241,0.15,3.47,3.47,1.96,0.9,0.28,0.28,66,0.68,0,8.875,rain,1002.2,,,37,61
2018010604,2018-01-06 04:00:00,Clear,clear-night,0.0054,0.06,3.08,3.08,1.72,0.91,0.21,0.32,9,0,0,9.052,rain,1002.33,,,33,56
2018010605,2018-01-06 05:00:00,Partly Cloudy,partly-cloudy-night,0,0,2.49,2.49,1.3,0.92,0.33,0.61,7,0.19,0,7.362,,1003.01,,,87,38
2018010606,2018-01-06 06:00:00,Partly Cloudy,partly-cloudy-night,0,0,2.27,2.27,1.09,0.92,0.55,0.55,24,0.22,0,6.619,,1003.79,,,477,80
2018010607,2018-01-06 07:00:00,Mostly Cloudy,partly-cloudy-night,0,0,2.3,2.3,1.12,0.92,0.6,1.23,26,0.67,0,5.694,,1004.88,,,1547,157
2018010608,2018-01-06 08:00:00,Mostly Cloudy,partly-cloudy-night,0,0,2.06,2.06,0.96,0.92,0.95,1.72,25,0.52,0,3.755,,1006.16,,,3465,397
2018010609,2018-01-06 09:00:00,Mostly Cloudy,partly-cloudy-day,0,0,2.06,0.63,0.92,0.92,1.48,2.35,25,0.6,0,4.33,,1007.48,,,1783,645
2018010610,2018-01-06 10:00:00,Mostly Cloudy,partly-cloudy-day,0,0,2.34,1.07,1.26,0.93,1.4,2.64,23,0.58,0,7.409,,1008.46,,,811,885
2018010611,2018-01-06 11:00:00,Partly Cloudy,partly-cloudy-day,0,0,3.05,1.42,1.58,0.9,1.73,2.74,21,0.38,0,7.606,,1009.48,,,789,1113
2018010612,2018-01-06 12:00:00,Partly Cloudy,partly-cloudy-day,0,0,4.01,2.3,2.29,0.89,1.93,3.47,28,0.44,1,9.621,,1010.01,,,1063,1212
2018010613,2018-01-06 13:00:00,Mostly Cloudy,partly-cloudy-day,0,0,4.7,2.62,2.91,0.88,2.42,3.97,29,0.67,0,9.235,,1010.41,,,1124,1405
2018010614,2018-01-06 14:00:00,Mostly Cloudy,partly-cloudy-day,0,0,5.05,3.13,3.33,0.89,2.32,4.57,33,0.75,0,10.003,,1010.98,,,964,1363
2018010615,2018-01-06 15:00:00,Mostly Cloudy,partly-cloudy-day,0,0,5.1,2.99,3.29,0.88,2.55,4.82,30,0.61,0,10.003,,1012.04,,,777,1275
2018010616,2018-01-06 16:00:00,Overcast,cloudy,0,0,5.36,3.2,3.37,0.87,2.65,4.76,31,0.89,0,10.003,,1012.99,,,865,1087
2018010617,2018-01-06 17:00:00,Mostly Cloudy,partly-cloudy-night,0,0,5.44,3.09,3.26,0.86,2.93,5.3,27,0.84,0,10.003,,1014.12,,,1680,856
2018010618,2018-01-06 18:00:00,Mostly Cloudy,partly-cloudy-night,0,0,5.39,3.32,2.67,0.83,2.56,5.16,30,0.71,0,10.003,,1015.41,,,1279,729
2018010619,2018-01-06 19:00:00,Partly Cloudy,partly-cloudy-night,0,0,4.74,2.35,1.97,0.82,2.8,5.33,35,0.3,0,10.003,,1016.32,,,633,626
2018010620,2018-01-06 20:00:00,Partly Cloudy,partly-cloudy-night,0,0,4.37,1.62,1.71,0.83,3.17,5.43,28,0.47,0,10.003,,1017.39,,,383,426
2018010621,2018-01-06 21:00:00,Partly Cloudy,partly-cloudy-night,0,0,3.99,1.4,1.31,0.83,2.86,5.19,28,0.27,0,10.003,,1018.6,,,258,284
2018010622,2018-01-06 22:00:00,Mostly Cloudy,partly-cloudy-night,0,0,3.75,0.82,0.59,0.8,3.25,5.67,32,0.7,0,10.003,,1019.6,,,270,300
2018010623,2018-01-06 23:00:00,Partly Cloudy,partly-cloudy-night,0,0,3.39,0.59,0.2,0.8,2.96,5.2,34,0.19,0,10.003,,1020.61,,,220,285
2018010700,2018-01-07 00:00:00,Partly Cloudy,partly-cloudy-night,0,0,3.25,0.41,-0.11,0.79,2.99,5.77,35,0.19,0,10.003,,1021.08,,,158,209
2018010701,2018-01-07 01:00:00,Clear,clear-night,0,0,3.05,0.28,-0.19,0.79,2.85,5.45,31,0,0,10.003,,1021.46,,,96,160
2018010702,2018-01-07 02:00:00,Clear,clear-night,0,0,2.85,-0.15,-0.46,0.79,3.09,5.74,28,0,0,10.003,,1022.06,,,68,96
2018010703,2018-01-07 03:00:00,Clear,clear-night,0,0,2.8,0.26,-0.78,0.77,2.54,4.59,30,0,0,10.003,,1022.55,,,43,70
2018010704,2018-01-07 04:00:00,Clear,clear-night,0,0,2.68,-0.14,-0.74,0.78,2.82,5,29,0,0,10.003,,1022.92,,,49,42
2018010705,2018-01-07 05:00:00,Partly Cloudy,partly-cloudy-night,0,0,2.62,-0.29,-0.51,0.8,2.92,5.75,32,0.17,0,10.003,,1022.89,,,37,29
2018010706,2018-01-07 06:00:00,Partly Cloudy,partly-cloudy-night,0,0,2.65,-0.45,-0.25,0.81,3.17,5.68,35,0.41,0,10.003,,1023.57,,,65,50
2018010707,2018-01-07 07:00:00,Mostly Cloudy,partly-cloudy-night,0,0,2.86,-0.13,0.49,0.84,3.08,5.97,34,0.75,0,10.003,,1024.41,,,175,112
2018010708,2018-01-07 08:00:00,Mostly Cloudy,partly-cloudy-night,0,0,3.05,-0.01,0.93,0.86,3.22,5.37,46,0.62,0,10.003,,1025.21,,,359,235
2018010709,2018-01-07 09:00:00,Mostly Cloudy,partly-cloudy-day,0,0,3.4,0.49,0.89,0.84,3.11,5.38,41,0.69,0,10.003,,1025.83,,,622,455
2018010710,2018-01-07 10:00:00,Mostly Cloudy,partly-cloudy-day,0,0,3.91,0.94,0.77,0.8,3.36,6.16,51,0.51,0,10.003,,1026.27,,,864,782
